Resumen de solapamientos — Feature: feature_1
Tolerancia: 0.0
Total coincidencias: 12933
Pares de páginas con solapamiento: 1987

Par de páginas                            Solapamientos
pagina_54 <-> pagina_55                             10
pagina_55 <-> pagina_56                             10
pagina_56 <-> pagina_94                             10
pagina_60 <-> pagina_97                             10
pagina_61 <-> pagina_63                             10
pagina_62 <-> pagina_94                             10
pagina_62 <-> pagina_97                             10
pagina_63 <-> pagina_66                             10
pagina_63 <-> pagina_86                             10
pagina_63 <-> pagina_88                             10
pagina_65 <-> pagina_87                             10
pagina_65 <-> pagina_90                             10
pagina_65 <-> pagina_98                             10
pagina_65 <-> pagina_99                             10
pagina_66 <-> pagina_70                             10
pagina_66 <-> pagina_96                             10
pagina_66 <-> pagina_99                             10
pagina_67 <-> pagina_95                             10
pagina_68 <-> pagina_75                             10
pagina_68 <-> pagina_85                             10
pagina_68 <-> pagina_94                             10
pagina_69 <-> pagina_83                             10
pagina_69 <-> pagina_85                             10
pagina_69 <-> pagina_99                             10
pagina_70 <-> pagina_73                             10
pagina_70 <-> pagina_95                             10
pagina_71 <-> pagina_79                             10
pagina_71 <-> pagina_87                             10
pagina_71 <-> pagina_91                             10
pagina_71 <-> pagina_97                             10
pagina_72 <-> pagina_83                             10
pagina_72 <-> pagina_91                             10
pagina_72 <-> pagina_93                             10
pagina_72 <-> pagina_95                             10
pagina_72 <-> pagina_99                             10
pagina_73 <-> pagina_86                             10
pagina_73 <-> pagina_98                             10
pagina_74 <-> pagina_83                             10
pagina_74 <-> pagina_85                             10
pagina_74 <-> pagina_90                             10
pagina_74 <-> pagina_94                             10
pagina_74 <-> pagina_98                             10
pagina_77 <-> pagina_85                             10
pagina_77 <-> pagina_88                             10
pagina_77 <-> pagina_89                             10
pagina_77 <-> pagina_94                             10
pagina_77 <-> pagina_95                             10
pagina_80 <-> pagina_93                             10
pagina_81 <-> pagina_93                             10
pagina_81 <-> pagina_99                             10
pagina_82 <-> pagina_93                             10
pagina_84 <-> pagina_89                             10
pagina_100 <-> pagina_67                              9
pagina_100 <-> pagina_68                              9
pagina_28 <-> pagina_30                              9
pagina_32 <-> pagina_33                              9
pagina_34 <-> pagina_35                              9
pagina_39 <-> pagina_40                              9
pagina_41 <-> pagina_49                              9
pagina_41 <-> pagina_99                              9
pagina_42 <-> pagina_44                              9
pagina_43 <-> pagina_49                              9
pagina_44 <-> pagina_45                              9
pagina_46 <-> pagina_47                              9
pagina_46 <-> pagina_50                              9
pagina_47 <-> pagina_50                              9
pagina_49 <-> pagina_52                              9
pagina_49 <-> pagina_97                              9
pagina_54 <-> pagina_57                              9
pagina_54 <-> pagina_95                              9
pagina_55 <-> pagina_57                              9
pagina_57 <-> pagina_95                              9
pagina_59 <-> pagina_61                              9
pagina_59 <-> pagina_94                              9
pagina_59 <-> pagina_95                              9
pagina_60 <-> pagina_64                              9
pagina_60 <-> pagina_99                              9
pagina_61 <-> pagina_97                              9
pagina_61 <-> pagina_99                              9
pagina_62 <-> pagina_65                              9
pagina_62 <-> pagina_90                              9
pagina_62 <-> pagina_95                              9
pagina_62 <-> pagina_99                              9
pagina_63 <-> pagina_89                              9
pagina_64 <-> pagina_97                              9
pagina_65 <-> pagina_76                              9
pagina_65 <-> pagina_96                              9
pagina_66 <-> pagina_74                              9
pagina_66 <-> pagina_85                              9
pagina_66 <-> pagina_86                              9
pagina_66 <-> pagina_87                              9
pagina_66 <-> pagina_90                              9
pagina_66 <-> pagina_91                              9
pagina_66 <-> pagina_97                              9
pagina_67 <-> pagina_83                              9
pagina_67 <-> pagina_85                              9
pagina_67 <-> pagina_96                              9
pagina_68 <-> pagina_71                              9
pagina_68 <-> pagina_92                              9
pagina_68 <-> pagina_96                              9
pagina_69 <-> pagina_78                              9
pagina_69 <-> pagina_79                              9
pagina_69 <-> pagina_87                              9
pagina_69 <-> pagina_88                              9
pagina_69 <-> pagina_90                              9
pagina_69 <-> pagina_91                              9
pagina_69 <-> pagina_92                              9
pagina_69 <-> pagina_93                              9
pagina_69 <-> pagina_97                              9
pagina_70 <-> pagina_85                              9
pagina_70 <-> pagina_98                              9
pagina_71 <-> pagina_77                              9
pagina_72 <-> pagina_88                              9
pagina_72 <-> pagina_92                              9
pagina_73 <-> pagina_79                              9
pagina_73 <-> pagina_87                              9
pagina_73 <-> pagina_96                              9
pagina_74 <-> pagina_77                              9
pagina_74 <-> pagina_78                              9
pagina_74 <-> pagina_89                              9
pagina_75 <-> pagina_88                              9
pagina_76 <-> pagina_84                              9
pagina_76 <-> pagina_89                              9
pagina_76 <-> pagina_90                              9
pagina_76 <-> pagina_93                              9
